state,percent_vote,petitions,win
Alabama,62.08,647,TRUE
Alaska,51.28,144,TRUE
Arizona,48.1,275,TRUE
Arkansas,60.57,461,TRUE
California,31.68,1843,FALSE
Colorado,43.25,477,FALSE
Connecticut,40.93,483,FALSE
D.C.,4.09,8,FALSE
Delaware,41.92,25,FALSE
Florida,48.64,428,TRUE
Georgia,50.51,848,TRUE
Hawaii,30.05,18,FALSE
Idaho,59.25,199,TRUE
Illinois,38.52,975,FALSE
Indiana,56.82,723,TRUE
Iowa,51.15,275,TRUE
Kansas,56.65,231,TRUE
Kentucky,62.52,550,TRUE
Louisiana,58.09,261,TRUE
Maine,45.15,408,FALSE
Maryland,33.92,190,FALSE
Massachusetts,32.81,806,FALSE
Michigan,47.5,1390,TRUE
Minnesota,44.92,532,FALSE
Mississippi,57.86,425,TRUE
Missouri,57.11,607,TRUE
Montana,56.47,146,TRUE
Nebraska,59.94,106,TRUE
Nevada,45.5,73,FALSE
New Hampshire,46.47,144,FALSE
New Jersey,41.03,876,FALSE
New Mexico,40.04,157,FALSE
New York,37.11,1614,TRUE
North Carolina,49.83,2236,TRUE
North Dakota,62.96,74,TRUE
Ohio,51.31,1321,TRUE
Oklahoma,65.32,360,TRUE
Oregon,39.12,700,FALSE
Pennsylvania,48.23,2442,TRUE
Rhode Island,38.9,204,FALSE
South Carolina ,54.94,733,TRUE
South Dakota,61.53,38,TRUE
Tennessee,61.07,1087,TRUE
Texas,52.23,1735,TRUE
Utah,45.14,162,TRUE
Vermont,30.27,111,FALSE
Virginia,44.43,650,FALSE
Washington,37.08,582,FALSE
West Virginia,67.86,213,TRUE
Wisconsin,47.19,862,TRUE
Wyoming,68.17,89,TRUE
